source_file,format,title,product,text,status,error
(금투) ETF 목표수익률 특약의 미이행으로 손실 보상을 요청한 사례.hwp,hwp,(금투) ETF 목표수익률 특약의 미이행으로 손실 보상을 요청한 사례,금투,"<분쟁사례>

 

ETF 목표수익률 특약의 미이행으로

손실 보상을 요청한 사례

< 민원유형 : 신탁 상품의 계약 조건 미이행   ▣ 민원내용    신청인은 ○○은행을 통해 특정 ETF에 투자하는 신탁상품에 가입하였고, 가입 당시 판매직원과 수익률 ±3% 이내에서 ETF를 운용하기로 하는 조건을 설정하고 운용을 위임하였으나, 손실률이 3%를 초과하였음에도 이를 방치함에 따라 손실이 확대되었기에, 손해배상을 요구하며 분쟁조정을 요청   ▣ 쟁점    계약 서류상 기재된 특약(매도 조건)의 이행 여부   ▣ 처리결과    신청인이 가입한 신탁 상품의 가입서류에 의하면 ‘지정한 목표수익률(원금 기준) 도달시 익영업일에 자동매도(전영업일 종가 지정가 매도)하며 미체결 잔량이 발생한 경우 동일한 기준으로 매도’한다는 내용의 목표수익률 달성에 따른 매도 조건은 기재되어 있는 반면 손실 발생에 따른 매도 조건은 없고, 신청인이 주장하는 특정 손실률 초과시 매도한다는 내용의 매도조건은 입증할 수 있는 증빙자료가 부재하여 신청인의 주장을 수용하지 아니함   ▣ 소비자 유의사항    금융소비자는 투자대상, 계약수수료 등 계약서상 주요 내용뿐만 아니라, 특약과 같은 세부 내용에 대해서도 상세히 살펴보고 가입(서명·날인)할 책임이 있으며, 손실이 확대된다고 할지라도 일반적으로 금융회사가 중도상환을 권유해야 할 부수적 의무까지 부담한다고 보기는 어려운 점을 고려하여 스스로 감내할 수 있는 수준에서 상품에 가입하여야 함>",ok,
(금투) 폐쇄형 펀드를 만기 전 정산요구한 사례.hwp,hwp,(금투) 폐쇄형 펀드를 만기 전 정산요구한 사례,금투,"<분쟁사례>

 

폐쇄형 펀드를 

만기 전 정산 요구한 사례

<  민원유형 : 펀드 만기 약정에 따른 정산 요구 사례   ▣ 민원내용    민원인은 폐쇄형(환매금지형) 펀드에 투자하는 과정에서 금융회사가 5년 이내 자산 매각 및 정산 처리를 약정하였는데, 그 기한이 경과하였음에도 매각이나 정산이 이루어지고 있지 않으므로 약정에 따른 자산 매각 및 펀드 정산을 요구하는 취지의 민원을 제기   ▣ 쟁점    서류상 기재된 펀드 만기와 민원인이 금융회사로부터 설명들었다고 주장하는 만기가 다른 경우에 민원인이 주장하는 만기 기간 경과시 펀드 정산 요구를 수용할 수 있는지 여부   ▣ 처리결과    본건 펀드 「투자제안서」에는 펀드 만기가 펀드 설정일로부터 15년으로 기재되어 있으며, 「사모집합투자기구 위험고지 및 투자자 체크리스트」상 “상기 사모집합투자기구에 대한 위험고지 및 안내사항을 설명듣고, 상품특성과 위험요소를 충분히 인지하고 투자한다”는 문구의 ‘설명듣고’ 부분과 ‘상품특성과 위험요소’ 부분이 자필로 기재되어 있고 서명 및 날인이 되어 있는 점이 확인되고,    법원은 “처분문서는 그 성립의 진정함이 인정되는 이상 그 기재 내용을 부인할 만한 분명하고도 수긍할 수 있는 반증이 없으면 처분문서에 기재된 문언대로 의사표시의 존재와 내용을 인정하여야 한다(대법원 2002.6.28. 선고 2002다23482 판결 등 참조)”고 판시하고 있으므로 민원인의 주장을 기각   ▣ 소비자 유의사항    폐쇄형 펀드는 만기까지 환매가 불가능한 상품이므로 투자 의사결정 전 설명자료 · 집합투자규약(신탁계약서) 등을 통해 펀드(신탁) 만기 및 만기변경에 대한 사항을 정확히 확인하고, 본인의 투자 목적과 자금 일정 등을 고려하여 신중하게 투자할 필요 >",ok,
(분쟁조정사례)대출상품 금리우대 적용 관련 분쟁.hwp,hwp,(분쟁조정사례)대출상품 금리우대 적용 관련 분쟁,분쟁조정사례,"<분쟁사례>

대출상품 금리우대 

적용 관련 분쟁

< ▣ 민원내용     민원인은 전세자금대출 갱신 과정에서 은행으로부터 금리우대 조건이 달라진 점*을 고지받지 못하였으므로, 금리우대 미적용으로 인해 추가 납부한 대출이자의 환급을 요구하는 민원을 제기      * 급여이체(월 50만원 → 100만원), 카드사용(3개월간 50만원 → 매월 30만원)   ▣ 쟁점    은행의 대출상품 금리우대 적용 관련 업무처리가 적정한지 여부   ▣ 처리결과    해당 대출 갱신 관련 서류의 금리우대에 관한 약정서 및 설명서상 금리우대 세부조건이 명시되어 있고, 계약자의 자필서명 기재가 확인    대출 갱신 이후 우대금리를 적용하지 않은 은행의 업무처리가 부당하다고 보기 어려움    ▣ 소비자 유의사항     대출상품 가입 또는 갱신 시 금리우대 요건을 면밀히 확인하여, 우대금리 미적용 등 불이익을 받지 않도록 주의할 필요>",ok,
(분쟁조정사례)생계유지 필요 예금에 대한 압류 해제 관련 분쟁.hwp,hwp,(분쟁조정사례)생계유지 필요 예금에 대한 압류 해제 관련 분쟁,분쟁조정사례,"<분쟁사례>

생계유지 필요 예금에 대한 

압류 해제 관련 분쟁

< ▣ 민원내용     민원인은 최근 대출금 상환을 연체하여 대출금융기관이 민원인 명의의 모든 예금에 대해 압류를 진행하였는데, 생계유지에 필요한 금원이 예치된 예금까지도 압류함에 따라 불편을 겪고 있음을 이유로 압류해제를 요청하는 민원을 제기   ▣ 쟁점    생계유지에 필요한 금원이 예치된 예금에 대한 압류 관련 업무처리가 적정한지 여부   ▣ 처리결과    민사집행법상 1개월간 생계유지에 필요한 예금(‘25년 기준 185만원)*은 압류가 금지     * 어느 한 계좌에 예치되어 있는 금액이 아닌, 각 금융기관에 예치되어 있는 채무자 명의 예금을 합산한 금액 중 일정 금액을 의미(대법원 2021다206356)    그러나 대출금융기관이 채무자의 예금 중 압류금지 대상을 특정하는 것은 현실적으로 불가능하므로, 모든 예금에 대해 압류를 신청하는 것이 부당하다고 보기 어려움    다만, 이 경우에는 생계유지에 필요한 금원의 예금 등에 대하여 법원에 압류금지채권 범위변경 신청*을 통해 구제받을 수 있움을 안내     * 압류명령 결정을 내린 집행법원에 ‘압류금지채권의 범위변경신청서’ 및 소명자료를 제출   ▣ 소비자 유의사항    금융회사가 생계유지에 필요한 예금까지 모두 압류한 경우에는 법원에 압류금지채권 범위변경 신청을 통해 생계유지에 필요한 예금 등의 압류를 구제받을 수 있습니다.  (참고) 생계비계좌(민사집행법 제246조의2 신설, ‘26.2.1. 시행)  <□ 민사집행법 개정에 따라 ‘26.2.1.부터 예금자는 압류금지생계비에 해당하는 금액을 예치할 수 있는 계좌(’생계비계좌‘)를 개설(1인1계좌 限) 가능   ◦ 생계비계좌에 예치된 예금*에 대해서는 압류가 금지되므로, 채무자는 생계비에 해당 예금에 대하여 별도 압류금지채권 범위변경 신청 불요      * 단, 압류금지생계비 이내에서 예치 가능(초과 예치·입금 불가)> >",ok,
10_(금투)_금융투자상품 가입시 상품설명서 등 중요사항에 대해서는 꼭 이해하고 가입해야 합니다..hwp,hwp,10_(금투)_금융투자상품 가입시 상품설명서 등 중요사항에 대해서는 꼭 이해하고 가입해야 합니다.,,"<분쟁사례>

 

펀드 가입시 금융회사가 중요사항을 설명하지 않았다는 민원 사례

< 민원유형 : 펀드- 설명의무   ▣ 민원내용     펀드 가입 시 금융회사가 중요사항을 설명하지 않는 등 설명의무를 미이행하였으므로 이에 대한 손해배상을 요청   ▣ 쟁점    펀드 가입시 금융회사가 중요사항에 대한 설명의무를 이행하였는지 여부     ▣ 처리결과    민원인은 상품설명서를 교부받고 금융투자상품에 대하여 설명을 듣고 이해하였음을 자필 기재한 사실이 확인되는데 민사소송법 제358조에 따르면 사문서는 본인 또는 대리인의 서명이나 날인 또는 무인이 있는 때에는 진정한 것으로 추정하고 있으며, 법원은 “원금 손실 가능성 및 충분한 설명을 들었으며 상품설명서를 수령했다는 것을 확인하는 내용이 기재된 청약서, 위험고지문 등에 원고들이 서명, 날인하였다면 본건 상품설명서 교부 사실이 추인된다 할 것이고 수익발생조건, 수익률, 원금손실가능성 등 개략적인 내용을 설명한 사실이 인정되므로 설명 및 교부 의무를 이행한 것으로 볼 수 있음”이라고 판시(서울고등법원 2009.1.16. 선고 2008나7750)하고 있어 민원인 주장 기각    ▣ 소비자 유의사항    금융투자상품 가입 시 상품설명서 등 관련 서류에 형식적으로 서명하는 것이 아닌 중요사항에 대한 정확한 설명을 듣고 이해한 후 가입 필요>",ok,
10_(여전)_중고차 시세를 면밀히 확인하고 중고차 담보 대출을 신청해야 합니다..hwp,hwp,10_(여전)_중고차 시세를 면밀히 확인하고 중고차 담보 대출을 신청해야 합니다.,대출,"<분쟁사례>

 

실제 중고차 가치보다 과도한 대출을 실행하였는지에 대한 분쟁 사례

< 민원유형 : 여신전문 – 담보 – 담보제도   ▣ 민원내용    여신전문금융회사(캐피탈 등, 이하 ‘여전사’)가 중고차 담보대출을 취급하는 과정에서 담보 차량에 사고 이력이 있었는데도 담보 평가를 소홀히 하여 실제 가치에 비해 과다한 대출을 실행한 것은 부당하므로 채무를 부담할 수 없다는 민원 제기   ▣ 쟁점    여전사가 중고차 담보대출 한도를 초과하여 대출을 취급하였는지 여부    ▣ 처리결과    여전사의 중고차 담보대출 한도는 ｢중고차금융 영업관행 개선을 위한 가이드라인」에 따라 중고차 구입비용(이전등록비용, 보험료 등 부대비용 불포함)과 여전사의 자체 중고차 시세 DB상 가격 중 작은금액 이내로 산정되므로, 동 한도 내에서 대출이 실행된 경우 여전사에 책임을 묻기 어렵고,    여전사는 해피콜 녹취 등을 통해 차종·차량번호·매매가격·대출금액 및 차주의 담보 차량 실사 여부를 확인하고 있는데 차주가 해당 내용에 모두 확인하였다고 답변한 결과, 대출이 실행되었으므로 민원 수용이 어려움을 안내   ▣ 소비자 유의사항    중고차 담보대출은 통상 중고차 구입대금을 조달하기 위해 대출이 신청되고, 여전사는 차량 매매가액에 따라 대출금을 산정·지급하게 되므로 소비자는 매매계약 체결 전 차량 실물을 직접 확인하고 보험개발원의 카히스토리(https://carhistory.or.kr) 또는 국토교통부의 자동차365(https://car365.go.kr)에서 제공하는 자동차 사고·통합이력 조회서비스를 이용하여 적정 시세를 확인하고 중고차 담보 대출 신청 및 차량 구입 등을 결정할 필요>",ok,
2_(은행)_모임주 대출연체시 모임통장 상계 관련 분쟁.hwpx,hwpx,2_(은행)_모임주 대출연체시 모임통장 상계 관련 분쟁,대출,"분쟁사례
분쟁사례
모임주의 대출 연체시
모임통장 대출 상계 처리
관련 분쟁
[ 민원유형 : 은행 – 대출 ] ▣ 민원내용 신청인은 OO은행(이하 ‘은행’)에서 마이너스 통장대출을 이용하던 중 이자 연체로 기한 전 채무변제 의무가 발생했는데, 은행이 신청인 명의 통장 중 모임 통장까지 상계 대상에 포함하여 대출과 상계 처리하였다며 이러한 업무처리가 정당한지 확인 요청 ▣ 쟁점 은행이 정당하게 신청인 명의 모임 통장과 대출을 상계하였는지 여부 ▣ 처리결과 은행은 신청인의 이자 연체로 기한 전 채무변제 의무가 발생하자 「은행여신거래기본약관」 등에 따라 상계 예정 통지서를 발송하고 신청인의 예금을 정당하게 상계 처리하였으며, 모임 통장 신규 시 상품설명서 등을 통해 대출 연체 등 모임주의 상황에 따라 상계를 포함한 압류 등 조치의 대상이 될 수 있음을 안내한 사실 확인 ▣ 소비자 유의사항 은행은 대출 연체 등 기한이익 상실 사유 발생시 상계 예정 통지서 발송 등 절차를 거쳐 채무자 명의의 예금을 대출 원리금과 상계할 수 있음 모임통장은 모임주 개인 명의의 통장으로 모임회비의 지급, 해지 등 잔액에 대한 모든 권한이 모임주에게 있으며, 모임주의 대출 연체 등 신용 상황에 따라 모임 통장이 모임주의 대출과 상계 처리될 수 있으므로 모임의 공동 재산에 피해가 가지 않도록 유의해야 함
[ 민원유형 : 은행 – 대출 ]
▣ 민원내용
신청인은 OO은행(이하 ‘은행’)에서 마이너스 통장대출을 이용하던 중 이자 연체로 기한 전 채무변제 의무가 발생했는데, 은행이 신청인 명의 통장 중 모임 통장까지 상계 대상에 포함하여 대출과 상계 처리하였다며 이러한 업무처리가 정당한지 확인 요청
▣ 쟁점
은행이 정당하게 신청인 명의 모임 통장과 대출을 상계하였는지 여부
▣ 처리결과
은행은 신청인의 이자 연체로 기한 전 채무변제 의무가 발생하자 「은행여신거래기본약관」 등에 따라 상계 예정 통지서를 발송하고 신청인의 예금을 정당하게 상계 처리하였으며,
모임 통장 신규 시 상품설명서 등을 통해 대출 연체 등 모임주의 상황에 따라 상계를 포함한 압류 등 조치의 대상이 될 수 있음을 안내한 사실 확인
▣ 소비자 유의사항
은행은 대출 연체 등 기한이익 상실 사유 발생시 상계 예정 통지서 발송 등 절차를 거쳐 채무자 명의의 예금을 대출 원리금과 상계할 수 있음
모임통장은 모임주 개인 명의의 통장으로 모임회비의 지급, 해지 등 잔액에 대한 모든 권한이 모임주에게 있으며, 모임주의 대출 연체 등 신용 상황에 따라 모임 통장이 모임주의 대출과 상계 처리될 수 있으므로 모임의 공동 재산에 피해가 가지 않도록 유의해야 함",ok,
7_(은행)_아파트 중도금대출 실행시 금리조건과 변동 주기 등을 확인해야 합니다.hwp,hwp,7_(은행)_아파트 중도금대출 실행시 금리조건과 변동 주기 등을 확인해야 합니다,대출,"<분쟁사례>

 

아파트 중도금대출 금리가 과도하게 인상되었다는 민원

< 민원유형 : 은행 – 대출 – 대출금리 및 제수수료   ▣ 민원내용     은행에서 실행한 아파트 중도금대출 금리가 1회차 대비 2회차에 과도하게 인상되었고, 가산금리가 같은 지역 다른 단지에 비해 너무 높게 산정되었다며 이에 대출금리 인하를 요청   ▣ 쟁점    대출금리 산정기준에 따라 적정하게 대출금리가 산정되었는지 여부   ▣ 처리결과     본 건 중도금대출의 금리는 기준금리인 신규취급액기준 COFIX(3개월 변동주기)에 가산금리를 더하여 산정되는데, 2회차 대출금리 인상은 금융시장 상황에 따른 기준금리 인상에 기인한 것으로 확인되며    가산금리의 경우, 금융회사가 아파트 분양사업 시행사 및 시공사의 신용도와 시공 능력, 분양 아파트의 입지 조건과 분양 가능성, 대출 취급 시기 등 다양한 정보를 종합적으로 고려하여 자율적으로 결정하는 사안이므로    은행이 금융 관련 법규를 명백하게 위반하거나 대출금리를 비합리적으로 산정한 사실 등의 정황이 발견되지 않아 민원을 수용하기 어려움을 안내   ▣ 소비자 유의사항    아파트 중도금대출 실행 시 금리조건과 변동주기 등을 꼼꼼히 확인하여야 하며 은행별로 대출금리 산정기준 등 운영방식이 상이할 수 있음에 유의할 필요>",ok,
8_(금투)_펀드 손실 배상 합의 후 추가 금전 지급요청 관련 분쟁.hwp,hwp,8_(금투)_펀드 손실 배상 합의 후 추가 금전 지급요청 관련 분쟁,,"<분쟁사례>

 

펀드 손실 배상 합의 후

추가 금전 지급요청 관련 분쟁

<[ 민원유형 : 금융투자 – 펀드 손실 배상 합의 후 추가 금전 지급요청 ]   ▣ 민원내용    민원인은 과거 설명의무 위반 등으로 불완전 판매된 펀드에 투자하여 손실을 보게 되었고 이후 원금의 일정 비율만큼을 배상받기로 판매사와 합의하였는데, 합의한 배상금액 외 수수료에 해당하는 금액 등을 판매사가 추가로 지급하여야 한다는 취지의 민원을 제기   ▣ 쟁점    민원인과 판매사 사이에 자율적으로 합의한 배상금액에 더하여 추가로 금전 지급을 요구할 수 있는지 여부   ▣ 처리결과    민원인과 판매사가 합의하고 날인한 「합의서」 등의 서류에 “배상 대상이 되는 ‘투자원금’에서 수수료를 제외한다”는 취지의 문구 및 금액산정 산식이 기재되어 있으며, 같은 문서에 민원인의 자필 서명이 확인되고, 법원은 “처분문서는 그 성립의 진정함이 인정되는 이상 그 기재 내용을 부인할 만한 분명하고도 수긍할 수 있는 반증이 없으면 처분문서에 기재된 문언대로 의사표시의 존재와 내용을 인정하여야 한다(대법원 2002.6.28. 선고 2002다23482 판결 등 참조)”고 판시하고 있으므로 민원인의 주장을 수용하기 어려움을 안내   ▣ 소비자 유의사항    투자자가 판매사와 금융상품 손실에 대한 배상에 대해 합의할 때, 서류에 기재된 배상금 산정방식 및 기타 관련 내용에 대해 정확하게 이해하고 날인할 필요>",ok,
"8_(은행)_은행에서 가입한 특정금전신탁이라도 원금보장이 되지 않으며, 상품가입시 투자위험성을 충분히 인지해야 합니다.hwp",hwp,"8_(은행)_은행에서 가입한 특정금전신탁이라도 원금보장이 되지 않으며, 상품가입시 투자위험성을 충분히 인지해야 합니다",,"<분쟁사례>

 

특정금전신탁 상품 손실에 따른 보상 요구 사례

< 민원유형 : 펀드(투자신탁) – 상품 설명 부적정   ▣ 민원내용    원금비보장형 특정금전신탁 상품에 가입한 민원인이 상품 판매 직원에게 원금손실 가능성에 대해 충분한 설명을 듣지 못하였다며 원금 손실에 대한 보상을 요구하는 취지로 민원을 제기   ▣ 쟁점    민원인이 은행에서 가입한 특정금전신탁 상품의 불완전판매 여부   ▣ 처리결과    민원인이 「투자자정보확인서」에 자신의 금융상품에 대한 지식이 매우 높은 수준이고 기대수익이 높다면 시장 상황에 따라 원금손실을 감내할 수 있다고 답하였고, 투자로 인한 손실의 책임이 투자자 본인에게 있다는 내용의 「비예금상품 설명확인서」에 직접 서명하였으며, 이는 해피콜 녹취록에서도 확인되어 은행 측이 불완전판매를 했다는 판단을 하기 어렵다는 근거로 민원인의 입장을 수용하지 않음   ▣ 소비자 유의사항    비교적 안전하다고 인식되는 은행을 통해 특정금전신탁에 가입하더라도 원금보장이 되지 않으며, 특히 ELS와 같은 파생상품과 연계된 특정금전신탁은 고위험 상품임을 명심하여야 함   가입 시에도 위험도나 만기, 중도상환(해지) 조건 등을 꼼꼼히 살펴보아야 하며 판매 직원의 설명에만 의존하지 말고, 상품설명서 등을 통해 투자의 위험성을 충분히 인지한 후 가입서류를 작성하여야 함>",ok,
