id,type,products,issue_types,text
single_001,single,예금,계약해지_지연,정기예금 계좌를 해지하려는데 영업점에서 시스템 점검 이유로 3일째 처리가 안 되고 있어요.
single_002,single,예금,계약해지_지연,예금 계좌 해지 신청했는데 본인확인 서류 미비 때문에 5일 동안 미뤄지고 있습니다.
single_003,single,예금,계약해지_지연,계좌 해지하러 갔더니 전산 오류라며 오늘 처리를 안 해줬어요. 벌써 3일째예요.
single_004,single,예금,금리적용오류,정기예금 우대금리를 0.3% 받기로 안내받았는데 실제로는 그보다 낮게 적용됐어요.
single_005,single,예금,금리적용오류,예금 가입할 때 1.2% 금리라고 들었는데 만기 때 확인하니 다르게 계산돼 있었어요.
single_006,single,예금,금리적용오류,예금 상품설명서에는 1.5% 우대금리라고 나와 있는데 실제 지급된 이자는 달라요.
single_007,single,예금,인출제한,제 명의 예금 계좌인데 인출이 갑자기 제한돼서 15만원을 못 찾고 있어요.
single_008,single,예금,인출제한,정상 거래 중이던 계좌가 이유 설명도 없이 지급정지돼서 30만원이 묶여 있어요.
single_009,single,예금,인출제한,예금 계좌에서 12만원을 인출하려는데 시스템에서 계속 거부돼요.
single_010,single,예금,거래오류,이번 만기 예금 이자를 계산해보니 약관과 300000원 정도 차이가 나요.
single_011,single,예금,거래오류,예금 거래내역서상 이자 금액이 제가 계산한 것과 200000원 차이가 있어요.
single_012,single,예금,거래오류,정기예금 만기 지급액이 안내받은 금액보다 30000원 적게 들어왔어요.
single_013,single,예금,명의도용,제 명의로 모르는 예금 계좌가 개설된 걸 발견했어요. 신청한 적이 없습니다.
single_014,single,예금,명의도용,저도 모르는 사이에 제 명의 예금 계좌가 만들어져 있었어요.
single_015,single,예금,명의도용,본인인증 없이 제 명의 예금계좌가 개설됐다는 통지를 받았어요.
single_016,single,적금,만기지급거절,적금 만기가 5일 지났는데 아직 지급을 안 해주고 있어요.
single_017,single,적금,만기지급거절,적금 만기일이 지났는데도 지급 처리가 5일째 안 되고 있습니다.
single_018,single,적금,만기지급거절,만기된 적금을 찾으러 갔는데 본점 승인 대기 때문에 지급을 미루고 있어요.
single_019,single,적금,우대금리설명부족,적금 가입할 때 우대금리 0.8% 조건을 제대로 설명 안 해줬어요.
single_020,single,적금,우대금리설명부족,우대금리 1.2%를 받으려면 어떤 조건이 필요한지 안내를 못 받았어요.
single_021,single,적금,우대금리설명부족,적금 우대조건 0.5%가 있다는 걸 만기 때가 돼서야 알았어요.
single_022,single,적금,중도해지위약금,적금을 중도해지했는데 위약금이 예상보다 120000원 더 나왔어요.
single_023,single,적금,중도해지위약금,급하게 적금을 해지했더니 계약서에 없던 수수료가 30000원 붙었어요.
single_024,single,적금,중도해지위약금,중도해지 시 위약금 50000원이 청구됐는데 계약 내용과 달라요.
